"","X","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"119",119,"11E - 19A","11E","19A",0,1,0,0,0.25,0,0.25,0,0.25,0.25,0.25,0,2.25
"123",123,"12B - 35F","12B","35F",0,1,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,2.25
"132",132,"12F - 3","12F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"134",134,"12F - 4","12F","4",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"135",135,"12F - 46","12F","46",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"138",138,"12F - 9L","12F","9L",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"143",143,"13 - 17F","13","17F",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"144",144,"13 - 18C","13","18C",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"152",152,"13 - 38","13","38",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"170",170,"14 - 23F","14","23F",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"180",180,"14 - 6B","14","6B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"209",209,"15A - 6A","15A","6A",0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,2.25
"248",248,"15F - 23A","15F","23A",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"252",252,"15F - 48","15F","48",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"273",273,"17F - 3","17F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"285",285,"18A - 23F","18A","23F",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"292",292,"18B - 7F","18B","7F",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"341",341,"19A - 35B","19A","35B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"345",345,"19A - 4","19A","4",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"357",357,"19A - 9N","19A","9N",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"361",361,"19B - 23F","19B","23F",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0,2.25
"381",381,"19F - 35B","19F","35B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"385",385,"19F - 4","19F","4",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"393",393,"19F - 7F","19F","7F",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"403",403,"21 - 3","21","3",0,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,2.25
"408",408,"22A - 4","22A","4",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"410",410,"22A - 8","22A","8",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"413",413,"22F - 24B","22F","24B",0,0,0,1,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"416",416,"22F - 3","22F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"422",422,"22F - 42","22F","42",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"423",423,"22F - 8","22F","8",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"451",451,"23B - 6C/D","23B","6C/D",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"462",462,"23F - 4","23F","4",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"481",481,"24F - 3","24F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"503",503,"3 - 33A","3","33A",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"543",543,"33F - 37","33F","37",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"545",545,"33F - 8","33F","8",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"550",550,"34 - 6B","34","6B",0,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,2.25
"552",552,"34 - 9L","34","9L",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"561",561,"35B - 6B","35B","6B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"569",569,"35C - 36","35C","36",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"576",576,"38 - 4","38","4",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"596",596,"6A - 6F","6A","6F",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"607",607,"6B - 8","6B","8",1,0,1,0,0,0,0.25,0,0,0,0,0,2.25
"9",9,"1 - 17F","1","17F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"10",10,"1 - 18C","1","18C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"13",13,"1 - 21","1","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"14",14,"1 - 22A","1","22A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"16",16,"1 - 23B","1","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"28",28,"1 - 7F","1","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"40",40,"10A - 22F","10A","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"42",42,"10A - 23B","10A","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"44",44,"10A - 3","10A","3",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"48",48,"10A - 7F","10A","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"52",52,"10B - 15A","10B","15A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"69",69,"11A - 12F","11A","12F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"70",70,"11A - 13","11A","13",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"76",76,"11A - 18A","11A","18A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"77",77,"11A - 18C","11A","18C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"80",80,"11A - 22F","11A","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"82",82,"11A - 23B","11A","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"83",83,"11A - 23F","11A","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"91",91,"11A - 35B","11A","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"92",92,"11A - 35F","11A","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"98",98,"11A - 7B/C","11A","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"99",99,"11A - 7F","11A","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"101",101,"11A - 9A","11A","9A",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"102",102,"11A - 9N","11A","9N",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"129",129,"12F - 19A","12F","19A",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"136",136,"12F - 6B","12F","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"139",139,"12F - 9N","12F","9N",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"140",140,"12F - 9V","12F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"141",141,"13 - 14","13","14",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"146",146,"13 - 19F","13","19F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"153",153,"13 - 6A","13","6A",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"154",154,"13 - 6B","13","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"155",155,"13 - 6C/D","13","6C/D",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"163",163,"14 - 19B","14","19B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"167",167,"14 - 22F","14","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"176",176,"14 - 38","14","38",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"184",184,"14 - 7B/C","14","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"188",188,"14 - 9L","14","9L",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"198",198,"15A - 21","15A","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"200",200,"15A - 23B","15A","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"204",204,"15A - 33F","15A","33F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"206",206,"15A - 37","15A","37",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"211",211,"15A - 6C/D","15A","6C/D",0,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,2
"213",213,"15A - 8","15A","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"222",222,"15B/C - 21","15B/C","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"223",223,"15B/C - 22A","15B/C","22A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"226",226,"15B/C - 23B","15B/C","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"239",239,"15B/C - 7B/C","15B/C","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"271",271,"17F - 23A","17F","23A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"274",274,"17F - 35B","17F","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"281",281,"17F - 9V","17F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"286",286,"18A - 6B","18A","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"289",289,"18B - 19A","18B","19A",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"291",291,"18B - 24F","18B","24F",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"297",297,"18C - 22F","18C","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"298",298,"18C - 23F","18C","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"306",306,"18C - 35F","18C","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"307",307,"18C - 38","18C","38",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"313",313,"18C - 8","18C","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"319",319,"18F - 23F","18F","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"322",322,"18F - 6B","18F","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"338",338,"19A - 31","19A","31",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"346",346,"19A - 42","19A","42",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"347",347,"19A - 5","19A","5",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"388",388,"19F - 5","19F","5",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"404",404,"21 - 9V","21","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"412",412,"22F - 23F","22F","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"419",419,"22F - 35B","22F","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"421",421,"22F - 4","22F","4",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"424",424,"22F - 9N","22F","9N",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"425",425,"22F - 9V","22F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"433",433,"23A - 33F","23A","33F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"440",440,"23A - 7B/C","23A","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"441",441,"23A - 8","23A","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"445",445,"23B - 3","23B","3",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"452",452,"23B - 8","23B","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"457",457,"23F - 31","23F","31",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"463",463,"23F - 42","23F","42",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"490",490,"24F - 9V","24F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"499",499,"29 - 35C","29","35C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"500",500,"29 - 35F","29","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"501",501,"29 - 6E","29","6E",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"502",502,"29 - 9V","29","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"506",506,"3 - 35F","3","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"517",517,"3 - 7B/C","3","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"518",518,"3 - 7F","3","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"519",519,"3 - 8","3","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"537",537,"33B - 6A","33B","6A",0,0,1,0,0.25,0,0.25,0,0.25,0,0.25,0,2
"571",571,"35C - 9V","35C","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"573",573,"35F - 7F","35F","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"577",577,"38 - 7A","38","7A",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0,2
"583",583,"4 - 7F","4","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"585",585,"4 - 9L","4","9L",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"613",613,"6C/D - 6G","6C/D","6G",0,1,0,0,0,0.25,0.25,0,0,0.25,0.25,0,2
"617",617,"7B/C - 9V","7B/C","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"618",618,"7F - 9N","7F","9N",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"619",619,"7F - 9V","7F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"1",1,"1 - 10A","1","10A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"3",3,"1 - 11A","1","11A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"6",6,"1 - 15A","1","15A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"20",20,"1 - 35B","1","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"27",27,"1 - 6C/D","1","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"37",37,"10A - 15B/C","10A","15B/C",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"47",47,"10A - 6C/D","10A","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"50",50,"10A - 9V","10A","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"62",62,"10C - 3","10C","3",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,1.75
"94",94,"11A - 4","11A","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"97",97,"11A - 6C/D","11A","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"105",105,"11B - 14","11B","14",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,1.75
"166",166,"14 - 21","14","21",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"168",168,"14 - 23A","14","23A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"194",194,"15A - 18C","15A","18C",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"205",205,"15A - 35B","15A","35B",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"208",208,"15A - 4","15A","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"212",212,"15A - 7B/C","15A","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"214",214,"15A - 9A","15A","9A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"215",215,"15A - 9V","15A","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"217",217,"15B/C - 17F","15B/C","17F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"224",224,"15B/C - 22F","15B/C","22F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"300",300,"18C - 3","18C","3",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"315",315,"18C - 9V","18C","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"343",343,"19A - 37","19A","37",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"354",354,"19A - 8","19A","8",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"375",375,"19F - 31","19F","31",0,0,1,0,0,0.25,0.25,0,0,0,0.25,0,1.75
"436",436,"23A - 4","23A","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"443",443,"23A - 9V","23A","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"453",453,"23B - 9V","23B","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"454",454,"23F - 24F","23F","24F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"471",471,"23F - 7F","23F","7F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"473",473,"23F - 9A","23F","9A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"474",474,"23F - 9L","23F","9L",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"505",505,"3 - 35B","3","35B",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"509",509,"3 - 4","3","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"514",514,"3 - 6C/D","3","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"515",515,"3 - 6E","3","6E",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"551",551,"34 - 6C/D","34","6C/D",0,0,1,0,0.25,0,0.25,0,0,0,0.25,0,1.75
"588",588,"42 - 6A","42","6A",0,0,1,0,0.25,0,0,0,0.25,0,0.25,0,1.75
"589",589,"42 - 6B","42","6B",0,0,1,0,0.25,0,0,0,0.25,0,0.25,0,1.75
"597",597,"6A - 6G","6A","6G",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"598",598,"6A - 7F","6A","7F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"605",605,"6B - 7B/C","6B","7B/C",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"614",614,"6C/D - 7F","6C/D","7F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"620",620,"8 - 9V","8","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"621",621,"9A - 9L","9A","9L",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"33",33,"10A - 11A","10A","11A",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"36",36,"10A - 15A","10A","15A",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"57",57,"10B - 6A","10B","6A",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"65",65,"10F - 7F","10F","7F",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,1.5
"130",130,"12F - 19F","12F","19F",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"131",131,"12F - 23F","12F","23F",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"150",150,"13 - 31","13","31",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,1.5
"189",189,"14 - 9N","14","9N",1,0,0,0,0,0,0.25,0,0,0,0.25,0,1.5
"242",242,"15B/C - 9N","15B/C","9N",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"268",268,"17F - 19F","17F","19F",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"269",269,"17F - 2","17F","2",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,1.5
"277",277,"17F - 4","17F","4",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"279",279,"17F - 6B","17F","6B",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"309",309,"18C - 6A","18C","6A",0,0,1,0,0,0.25,0,0,0,0,0.25,0,1.5
"316",316,"18F - 19A","18F","19A",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"339",339,"19A - 33F","19A","33F",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"384",384,"19F - 38","19F","38",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"399",399,"2 - 3","2","3",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1.5
"465",465,"23F - 5","23F","5",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"480",480,"24B - 35B","24B","35B",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1.5
"494",494,"25A - 7F","25A","7F",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1.5
"522",522,"31 - 35B","31","35B",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,1.5
"523",523,"31 - 38","31","38",0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,1.5
"533",533,"33A - 8","33A","8",0,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,1.5
"582",582,"4 - 6B","4","6B",0,0,1,0,0,0.25,0,0,0,0,0.25,0,1.5
"584",584,"4 - 8","4","8",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"600",600,"6A - 9A","6A","9A",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"41",41,"10A - 23A","10A","23A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"54",54,"10B - 19F","10B","19F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"55",55,"10B - 22F","10B","22F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"56",56,"10B - 23F","10B","23F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"58",58,"10B - 6B","10B","6B",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"61",61,"10C - 19F","10C","19F",0,0,0,0,0.25,0.25,0.25,0,0.25,0,0.25,0,1.25
"111",111,"11B - 7F","11B","7F",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,1.25
"117",117,"11D - 19A","11D","19A",0,0,0,0,0.25,0,0.25,0,0.25,0.25,0.25,0,1.25
"126",126,"12B - 7F","12B","7F",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,1.25
"127",127,"12F - 14","12F","14",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"147",147,"13 - 2","13","2",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"182",182,"14 - 6E","14","6E",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"186",186,"14 - 8","14","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"231",231,"15B/C - 31","15B/C","31",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"244",244,"15F - 17F","15F","17F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"256",256,"16F - 19F","16F","19F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"267",267,"17F - 19A","17F","19A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"278",278,"17F - 48","17F","48",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"280",280,"17F - 6C/D","17F","6C/D",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"320",320,"18F - 24F","18F","24F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"329",329,"19A - 22A","19A","22A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"336",336,"19A - 29","19A","29",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"342",342,"19A - 35C","19A","35C",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"344",344,"19A - 38","19A","38",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"356",356,"19A - 9L","19A","9L",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"360",360,"19B - 23A","19B","23A",0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0.25,1.25
"373",373,"19F - 29","19F","29",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"379",379,"19F - 33F","19F","33F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"380",380,"19F - 34","19F","34",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"383",383,"19F - 37","19F","37",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"394",394,"19F - 8","19F","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"395",395,"19F - 9A","19F","9A",1,0,0,0,0,0,0,0,0,0,0.25,0,1.25
"396",396,"19F - 9L","19F","9L",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"418",418,"22F - 33F","22F","33F",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"428",428,"23A - 24B","23A","24B",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"446",446,"23B - 31","23B","31",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"455",455,"23F - 29","23F","29",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"460",460,"23F - 35C","23F","35C",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"461",461,"23F - 38","23F","38",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"472",472,"23F - 8","23F","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"484",484,"24F - 6A","24F","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"485",485,"24F - 6B","24F","6B",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"525",525,"31 - 9A","31","9A",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,1.25
"527",527,"31 - 9V","31","9V",0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0.25,1.25
"531",531,"33A - 35F","33A","35F",0,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0,1.25
"535",535,"33B - 33F","33B","33F",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,1.25
